Name,Coin 1,Coin 2,Digit to round,Min Price,Max Price,Price Increment,Amount Format in Market data book,Default Min Order Amount,Default Max Order Amount,Amount Increment
EOS/USD,EOS,USD,#.00000,0.01,999,0.00001,#.00,1,2400000,1
ETC/EUR,ETC,EUR,#.000,0.01,999,0.0001,#.00,0.1,1500000,0.1
ETC/USD,ETC,USD,#.000,0.01,999,0.0001,#.00,0.1,1500000,0.1
ETH/EUR,ETH,EUR,#.00,10,99999,0.01,#.0000,0.0001,17000,0.0001
ETH/USD,ETH,USD,#.00,10,99999,0.01,#.0000,0.0001,17000,0.0001
ETH/USDC,ETH,USDC,#.00,10,99999,0.01,#.0000,0.0001,17000,0.0001
ETH/USDT,ETH,USDT,#.00,10,99999,0.01,#.0000,0.0001,17000,0.0001
EURC/CHF,EURC,CHF,#.000000,0.1,9,0.00001,#.00,1,9900000,1
FET/EUR,FET,EUR,#.0000,0.01,999,0.0001,#.00,1,2000000,1
FET/USD,FET,USD,#.0000,0.01,999,0.0001,#.00,1,2000000,1
FIL/EUR,FIL,EUR,#.0000,0.01,999,0.0001,#.00,1,3500000,1
FIL/USD,FIL,USD,#.0000,0.01,999,0.0001,#.00,1,3500000,1
FLR/EUR,FLR,EUR,#.000000,0.001,999,0.000001,#.,100,60000000,100
FLR/USD,FLR,USD,#.000000,0.001,999,0.000001,#.,100,60000000,100
FTM/EUR,FTM,EUR,#.00000,0.01,999,0.00001,#.00,1,2400000,1
FTM/USD,FTM,USD,#.00000,0.01,999,0.00001,#.00,1,2400000,1
FTT/EUR,FTT,EUR,#.0000,0.01,999,0.0001,#.00,0.1,2000000,0.1
FTT/USD,FTT,USD,#.0000,0.01,999,0.0001,#.00,0.1,2000000,0.1
GALA/EUR,GALA,EUR,#.000000,0.001,999,0.000001,#.,100,60000000,100
GALA/USD,GALA,USD,#.000000,0.001,999,0.000001,#.,100,60000000,100
GRT/EUR,GRT,EUR,#.00000,0.01,999,0.00001,#.00,10,2400000,10
GRT/USD,GRT,USD,#.00000,0.01,999,0.00001,#.00,10,2400000,10
HBAR/EUR,HBAR,EUR,#.000000,0.001,999,0.000001,#.,10,60000000,10
HBAR/USD,HBAR,USD,#.000000,0.001,999,0.000001,#.,10,60000000,10
IMX/EUR,IMX,EUR,#.0000,0.01,999,0.0001,#.00,1,2000000,1
IMX/USD,IMX,USD,#.0000,0.01,999,0.0001,#.00,1,2000000,1
IOTA/EUR,IOTA,EUR,#.00000,0.01,999,0.00001,#.00,10,2400000,10
IOTA/USD,IOTA,USD,#.00000,0.01,999,0.00001,#.00,10,2400000,10
KNC/EUR,KNC,EUR,#.00000,0.01,999,0.00001,#.00,1,2400000,1
KNC/USD,KNC,USD,#.00000,0.01,999,0.00001,#.00,1,2400000,1
LINK/EUR,LINK,EUR,#.000,0.1,999,0.001,#.00,0.1,200000,0.1
LINK/USD,LINK,USD,#.000,0.1,999,0.001,#.00,0.1,200000,0.1
LPT/EUR,LPT,EUR,#.000,0.01,999,0.0001,#.00,0.1,1500000,0.1
LPT/USD,LPT,USD,#.000,0.01,999,0.0001,#.00,0.1,1500000,0.1
LRC/EUR,LRC,EUR,#.00000,0.01,999,0.00001,#.00,10,2400000,10
