"Name","Coin 1","Coin 2","Digit to round","Min Price","Max Price","Price Increment","Amount Format in Market data book","Default Min Order Amount","Default Max Order Amount","Amount Increment"
CRV/EUR,CRV,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
CRV/USD,CRV,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
CTSI/EUR,CTSI,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
CTSI/USD,CTSI,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
DASH/EUR,DASH,EUR,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
DASH/USD,DASH,USD,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
DOGE/EUR,DOGE,EUR,#.00000,0.001,99.0,0.00001,#.,1000.0,245000000,100.0
DOGE/USD,DOGE,USD,#.00000,0.001,99.0,0.00001,#.,1000.0,245000000,100.0
DOGE/USDC,DOGE,USDC,#.00000,0.001,99.0,0.00001,#.,1000.0,245000000,100.0
DOGE/USDT,DOGE,USDT,#.00000,0.001,99.0,0.00001,#.,1000.0,245000000,100.0
DOT/EUR,DOT,EUR,#.0000,0.01,999.0,0.0001,#.00,100.0,3500000.0,1.0
DOT/USD,DOT,USD,#.0000,0.01,999.0,0.0001,#.00,100.0,3500000.0,1.0
DOT/USDC,DOT,USDC,#.0000,0.01,999.0,0.0001,#.00,100.0,3500000.0,1.0
DOT/USDT,DOT,USDT,#.0000,0.01,999.0,0.0001,#.00,100.0,3500000.0,1.0
DYDX/EUR,DYDX,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
DYDX/USD,DYDX,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
ENJ/EUR,ENJ,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
ENJ/USD,ENJ,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
ENS/EUR,ENS,EUR,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
ENS/USD,ENS,USD,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
EOS/EUR,EOS,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
EOS/USD,EOS,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
ETC/EUR,ETC,EUR,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
ETC/USD,ETC,USD,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
ETH/EUR,ETH,EUR,#.00,10.0,99999.0,0.01,#.0000,0.0001,17000.0,0.0001
ETH/USD,ETH,USD,#.00,10.0,99999.0,0.01,#.0000,0.0001,17000.0,0.0001
ETH/USDC,ETH,USDC,#.00,10.0,99999.0,0.01,#.0000,0.0001,17000.0,0.0001
ETH/USDT,ETH,USDT,#.00,10.0,99999.0,0.01,#.0000,0.0001,17000.0,0.0001
FET/EUR,FET,EUR,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
FET/USD,FET,USD,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
FIL/EUR,FIL,EUR,#.0000,0.01,999.0,0.0001,#.00,100.0,3500000.0,1.0
FIL/USD,FIL,USD,#.0000,0.01,999.0,0.0001,#.00,100.0,3500000.0,1.0
FLR/EUR,FLR,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
FLR/USD,FLR,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
FTM/EUR,FTM,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
FTM/USD,FTM,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
FTT/EUR,FTT,EUR,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
FTT/USD,FTT,USD,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
